id_in_subsession,code,dictator_1,dictator_2,dictator_3,dictator_4,trust_sender_1,trust_sender_2,trust_sender_3,trust_sender_4,partner_id_1,partner_id_2,partner_id_3,partner_id_4
1,upwjbd,1,0,1,0,1,1,1,1,26,50,49,48
2,bejuuv,1,0,1,0,1,1,1,1,27,26,50,49
3,mbopdl,1,0,1,0,1,1,1,1,28,27,26,50
4,karihm,1,0,1,0,1,1,1,1,29,28,27,26
5,xmmjir,1,0,1,0,1,1,1,1,30,29,28,27
6,wbuidu,1,0,1,0,1,1,1,1,31,30,29,28
7,iunjrs,1,0,1,0,1,1,1,1,32,31,30,29
8,kihtsv,1,0,1,0,1,1,1,1,33,32,31,30
9,qyodsn,1,0,1,0,1,1,1,1,34,33,32,31
10,befvjy,1,0,1,0,1,1,1,1,35,34,33,32
11,uwpyyt,1,0,1,0,1,1,1,1,36,35,34,33
12,gqgldi,1,0,1,0,1,1,1,1,37,36,35,34
13,gwpvqu,1,0,1,0,1,1,1,1,38,37,36,35
14,bradkx,1,0,1,0,1,1,1,1,39,38,37,36
15,acgiaz,1,0,1,0,1,1,1,1,40,39,38,37
16,cbdzav,1,0,1,0,1,1,1,1,41,40,39,38
17,htxycl,1,0,1,0,1,1,1,1,42,41,40,39
18,rfzpat,1,0,1,0,1,1,1,1,43,42,41,40
19,jgqvvl,1,0,1,0,1,1,1,1,44,43,42,41
20,auwimp,1,0,1,0,1,1,1,1,45,44,43,42
21,poqssa,1,0,1,0,1,1,1,1,46,45,44,43
22,ozuhko,1,0,1,0,1,1,1,1,47,46,45,44
23,quhhyg,1,0,1,0,1,1,1,1,48,47,46,45
24,mvbwfo,1,0,1,0,1,1,1,1,49,48,47,46
25,jupxrj,1,0,1,0,1,1,1,1,50,49,48,47
26,hdvvot,0,1,0,1,0,0,0,0,1,2,3,4
27,mlmbwn,0,1,0,1,0,0,0,0,2,3,4,5
28,fpvtbn,0,1,0,1,0,0,0,0,3,4,5,6
29,llolml,0,1,0,1,0,0,0,0,4,5,6,7
30,iibgdc,0,1,0,1,0,0,0,0,5,6,7,8
31,jtipnj,0,1,0,1,0,0,0,0,6,7,8,9
32,vcovek,0,1,0,1,0,0,0,0,7,8,9,10
33,awdzkv,0,1,0,1,0,0,0,0,8,9,10,11
34,msojkn,0,1,0,1,0,0,0,0,9,10,11,12
35,eelnbj,0,1,0,1,0,0,0,0,10,11,12,13
36,rzakyw,0,1,0,1,0,0,0,0,11,12,13,14
37,wbambv,0,1,0,1,0,0,0,0,12,13,14,15
38,mbxuey,0,1,0,1,0,0,0,0,13,14,15,16
39,rigjkf,0,1,0,1,0,0,0,0,14,15,16,17
40,akrpll,0,1,0,1,0,0,0,0,15,16,17,18
41,gsfhpd,0,1,0,1,0,0,0,0,16,17,18,19
42,wmubck,0,1,0,1,0,0,0,0,17,18,19,20
43,rzmpyb,0,1,0,1,0,0,0,0,18,19,20,21
44,ghrcdm,0,1,0,1,0,0,0,0,19,20,21,22
45,axknez,0,1,0,1,0,0,0,0,20,21,22,23
46,vofmms,0,1,0,1,0,0,0,0,21,22,23,24
47,aymssn,0,1,0,1,0,0,0,0,22,23,24,25
48,yylvom,0,1,0,1,0,0,0,0,23,24,25,1
49,drqxxq,0,1,0,1,0,0,0,0,24,25,1,2
50,sbtcvf,0,1,0,1,0,0,0,0,25,1,2,3
